episode,shaped_reward,success,steps
632,-10.44000000,0,45
633,-10.46000000,0,47
634,-10.69000000,0,70
635,-10.12000000,0,13
636,-10.77000000,0,78
637,-10.15000000,0,16
638,-10.20000000,0,21
639,-10.13000000,0,14
640,-10.10000000,0,11
641,-10.29000000,0,30
642,-10.10000000,0,11
643,-10.67000000,0,68
644,-10.19000000,0,20
645,-10.65000000,0,66
646,-10.30000000,0,31
647,-10.25000000,0,26
648,-10.19000000,0,20
649,-10.13000000,0,14
650,-10.06000000,0,7
651,-10.33000000,0,34
652,-10.41000000,0,42
653,-10.17000000,0,18
654,-10.16000000,0,17
655,-10.93000000,0,94
656,-10.16000000,0,17
657,-10.22000000,0,23
658,-10.13000000,0,14
659,-10.25000000,0,26
660,-10.33000000,0,34
661,-10.27000000,0,28
662,-10.19000000,0,20
663,-12.33000000,0,234
664,-10.44000000,0,45
665,-12.18000000,0,219
666,-10.27000000,0,28
667,-10.09000000,0,10
668,-10.44000000,0,45
669,-10.19000000,0,20
670,-10.27000000,0,28
671,-10.05000000,0,6
672,-10.78000000,0,79
673,-10.46000000,0,47
674,-10.10000000,0,11
675,-10.14000000,0,15
676,-10.48000000,0,49
677,-10.40000000,0,41
678,-10.36000000,0,37
679,-10.22000000,0,23
680,-10.96000000,0,97
681,-10.08000000,0,9
682,-10.89000000,0,90
683,-10.36000000,0,37
684,-10.42000000,0,43
685,-10.06000000,0,7
686,-10.44000000,0,45
687,-10.10000000,0,11
688,-10.50000000,0,51
689,-10.09000000,0,10
690,-10.36000000,0,37
691,-10.11000000,0,12
692,-10.34000000,0,35
693,-10.48000000,0,49
694,-10.36000000,0,37
695,-10.09000000,0,10
696,-10.25000000,0,26
697,-10.41000000,0,42
698,-10.22000000,0,23
699,-10.28000000,0,29
700,-10.64000000,0,65
701,-10.16000000,0,17
702,-11.58000000,0,159
703,-10.19000000,0,20
704,-10.22000000,0,23
705,-10.48000000,0,49
706,-10.15000000,0,16
707,-10.45000000,0,46
708,-10.18000000,0,19
709,-10.36000000,0,37
710,-10.18000000,0,19
711,-10.29000000,0,30
712,-10.29000000,0,30
713,-10.28000000,0,29
714,-10.48000000,0,49
715,-10.24000000,0,25
716,-10.10000000,0,11
717,-10.39000000,0,40
718,-10.55000000,0,56
719,-10.07000000,0,8
720,-10.41000000,0,42
721,-10.52000000,0,53
722,-10.32000000,0,33
723,-10.58000000,0,59
724,-10.04000000,0,5
725,-10.30000000,0,31
726,-10.72000000,0,73
727,-10.23000000,0,24
728,-11.08000000,0,109
729,-10.18000000,0,19
730,-10.24000000,0,25
731,-10.26000000,0,27
732,-10.15000000,0,16
733,-10.12000000,0,13
734,-10.26000000,0,27
735,-10.35000000,0,36
736,-10.33000000,0,34
737,-10.09000000,0,10
738,-10.41000000,0,42
739,-10.33000000,0,34
740,-10.18000000,0,19
741,-10.50000000,0,51
742,-10.45000000,0,46
743,-10.38000000,0,39
744,-10.21000000,0,22
745,-10.28000000,0,29
746,-10.27000000,0,28
747,-10.82000000,0,83
748,-10.79000000,0,80
749,-10.20000000,0,21
750,-10.21000000,0,22
751,-10.13000000,0,14
752,-10.24000000,0,25
753,-10.30000000,0,31
754,-10.31000000,0,32
755,-10.43000000,0,44
756,-10.04000000,0,5
757,-11.12000000,0,113
758,-10.14000000,0,15
759,-10.12000000,0,13
760,-10.80000000,0,81
761,-10.12000000,0,13
762,-10.73000000,0,74
763,-10.12000000,0,13
764,-10.92000000,0,93
765,-10.25000000,0,26
766,-10.06000000,0,7
767,-10.46000000,0,47
768,-10.10000000,0,11
769,-10.41000000,0,42
770,-10.34000000,0,35
771,-10.13000000,0,14
772,-10.14000000,0,15
773,-10.11000000,0,12
774,-11.20000000,0,121
775,-10.21000000,0,22
776,-10.31000000,0,32
777,-10.13000000,0,14
778,-10.17000000,0,18
779,-10.35000000,0,36
780,-10.36000000,0,37
781,-11.68000000,0,169
782,-10.43000000,0,44
783,-10.24000000,0,25
784,-10.45000000,0,46
785,-10.31000000,0,32
786,-10.44000000,0,45
787,-10.24000000,0,25
788,-10.57000000,0,58
789,-10.57000000,0,58
790,-10.32000000,0,33
791,-10.41000000,0,42
792,-10.04000000,0,5
793,-10.26000000,0,27
794,-10.55000000,0,56
795,-10.16000000,0,17
796,-10.50000000,0,51
797,-10.06000000,0,7
798,-10.47000000,0,48
799,-10.14000000,0,15
800,-10.15000000,0,16
801,-10.30000000,0,31
802,-10.18000000,0,19
803,-10.05000000,0,6
804,-10.18000000,0,19
805,-10.41000000,0,42
806,-10.05000000,0,6
807,-10.07000000,0,8
808,-10.14000000,0,15
809,-10.30000000,0,31
810,-10.89000000,0,90
811,-10.37000000,0,38
812,-10.07000000,0,8
813,-11.16000000,0,117
814,-10.49000000,0,50
815,-10.40000000,0,41
816,-11.39000000,0,140
817,-10.16000000,0,17
818,-10.16000000,0,17
819,-10.25000000,0,26
820,-10.42000000,0,43
821,-10.38000000,0,39
822,-10.13000000,0,14
823,-10.14000000,0,15
824,-10.93000000,0,94
825,-10.47000000,0,48
826,-10.14000000,0,15
827,-10.20000000,0,21
828,-10.22000000,0,23
829,-10.39000000,0,40
830,-10.76000000,0,77
831,-10.14000000,0,15
832,-10.46000000,0,47
833,-10.26000000,0,27
834,-10.43000000,0,44
835,-10.06000000,0,7
836,-10.65000000,0,66
837,-10.36000000,0,37
838,-10.16000000,0,17
839,-10.75000000,0,76
840,-10.25000000,0,26
841,-10.17000000,0,18
842,-10.12000000,0,13
843,9.30000000,1,71
844,-11.20000000,0,121
845,-10.48000000,0,49
846,-10.67000000,0,68
847,-10.26000000,0,27
848,-10.03000000,0,4
849,-10.17000000,0,18
850,-10.05000000,0,6
851,-10.11000000,0,12
852,-10.48000000,0,49
853,-10.09000000,0,10
854,-10.11000000,0,12
855,-10.19000000,0,20
856,-10.70000000,0,71
857,-10.46000000,0,47
858,-10.22000000,0,23
859,-10.18000000,0,19
860,-11.57000000,0,158
861,-10.60000000,0,61
862,-10.50000000,0,51
863,-10.36000000,0,37
864,-10.34000000,0,35
865,-10.26000000,0,27
866,-10.47000000,0,48
867,-10.06000000,0,7
868,-10.09000000,0,10
869,-11.29000000,0,130
870,-10.27000000,0,28
871,-10.30000000,0,31
872,-10.36000000,0,37
873,-10.64000000,0,65
874,-10.42000000,0,43
875,-10.19000000,0,20
876,-10.11000000,0,12
877,-10.11000000,0,12
878,-10.65000000,0,66
879,-10.09000000,0,10
880,-10.20000000,0,21
881,-10.25000000,0,26
882,-10.29000000,0,30
883,-10.09000000,0,10
884,-10.38000000,0,39
885,-10.21000000,0,22
886,-10.48000000,0,49
887,-10.12000000,0,13
888,-10.31000000,0,32
889,-10.20000000,0,21
890,-10.06000000,0,7
891,-10.13000000,0,14
892,-10.09000000,0,10
893,-10.23000000,0,24
894,-10.85000000,0,86
895,-10.51000000,0,52
896,-10.09000000,0,10
897,-10.06000000,0,7
898,-10.19000000,0,20
899,-11.02000000,0,103
900,-10.24000000,0,25
901,-10.33000000,0,34
902,-10.05000000,0,6
903,-10.09000000,0,10
904,-11.15000000,0,116
905,-10.19000000,0,20
906,-10.20000000,0,21
907,-10.24000000,0,25
908,-10.29000000,0,30
909,-10.44000000,0,45
910,-11.45000000,0,146
911,-10.10000000,0,11
912,-10.06000000,0,7
913,-10.41000000,0,42
914,-10.18000000,0,19
915,-10.15000000,0,16
916,-10.09000000,0,10
917,-10.14000000,0,15
918,-10.61000000,0,62
919,-10.11000000,0,12
920,-10.05000000,0,6
921,-10.25000000,0,26
922,-10.56000000,0,57
923,-10.82000000,0,83
924,-10.10000000,0,11
925,-10.40000000,0,41
926,-10.11000000,0,12
927,-10.11000000,0,12
928,-10.06000000,0,7
929,-10.23000000,0,24
930,-10.33000000,0,34
931,-10.31000000,0,32
932,-10.05000000,0,6
933,-10.06000000,0,7
934,-10.47000000,0,48
935,-10.40000000,0,41
936,-10.05000000,0,6
937,-10.41000000,0,42
938,-10.67000000,0,68
939,-10.25000000,0,26
940,-10.22000000,0,23
